Time (s),Position_leader (m),Velocity_leader (m/s),Position_follower (m),Velocity_follower (m/s)
0,222.5044229,12.05311506,194.0880939,11.53534654
0.1,223.7123374,12.079145,195.2447872,11.56693324
0.2,224.9228064,12.10468991,196.404619,11.59831775
0.3,226.1357789,12.12972535,197.567568,11.62948987
0.4,227.3512015,12.15422572,198.7336119,11.66043887
0.5,228.5690179,12.17816425,199.9027272,11.69115343
0.6,229.7891692,12.20151298,201.0748894,11.72162166
0.7,231.0115935,12.2242427,202.2500725,11.75183101
0.8,232.2362258,12.24632292,203.4282493,11.78176828
0.9,233.462998,12.26772188,204.6093913,11.8114196
1,234.6918386,12.28840648,205.7934683,11.84077035
1.1,235.9226729,12.3083423,206.9804488,11.86980516
1.2,237.1554222,12.32749353,208.1702996,11.89850789
1.3,238.3900045,12.34582301,209.3629858,11.92686156
1.4,239.6263337,12.3632922,210.5584706,11.95484833
1.5,240.8643198,12.37986115,211.7567155,11.98244946
1.6,242.1038687,12.39548856,212.9576801,12.00964529
1.7,243.3448819,12.41013174,214.1613216,12.03641519
1.8,244.5872565,12.42374666,215.3675953,12.06273752
1.9,245.8308853,12.43628796,216.5764543,12.0885896
2,247.0756562,12.44770898,217.7878491,12.11394766
2.1,248.3214524,12.45796183,219.0017277,12.13878684
2.2,249.5681522,12.46699743,220.2180359,12.1630811
2.3,250.8156287,12.47476555,221.4367162,12.18680324
2.4,252.0637502,12.48121495,222.6577087,12.20992482
2.5,253.3123796,12.48629341,223.8809503,12.23241616
2.6,254.5613743,12.48994787,225.1063749,12.25424632
2.7,255.8105868,12.49212453,226.3339132,12.27538303
2.8,257.0598637,12.49276898,227.5634925,12.29579269
2.9,258.3090463,12.49182635,228.7950365,12.31544037
3,259.5579705,12.48924145,230.0284655,12.33428977
3.1,260.8064664,12.48495898,231.2636958,12.35230319
3.2,262.0543587,12.47892367,232.50064,12.36944158
3.3,263.3014668,12.47108048,233.7392064,12.38566449
3.4,264.5476043,12.46137486,234.9792994,12.40093009
3.5,265.7925796,12.44975289,236.220819,12.41519519
3.6,267.0361957,12.43616158,237.4636605,12.42841526
3.7,268.2782506,12.42054908,238.7077149,12.44054445
3.8,269.5185371,12.40286494,239.9528685,12.45153564
3.9,270.7568432,12.38306033,241.1990025,12.46134049
4,271.992952,12.36108834,242.4459935,12.46990947
4.1,273.2266424,12.33690422,243.6937127,12.47719197
4.2,274.457689,12.31046566,244.9420263,12.48313638
4.3,275.6858623,12.28173301,246.1907953,12.48769015
4.4,276.9109292,12.25066958,247.4398753,12.49079992
4.5,278.1326534,12.21724185,248.6891165,12.49241165
4.6,279.3507954,12.18141973,249.9383636,12.49247075
4.7,280.5651131,12.14317677,251.1874558,12.4909222
4.8,281.7753621,12.10249039,252.4362269,12.48771076
4.9,282.9812963,12.05934206,253.684505,12.48278111
5,284.1826681,12.01371747,254.9321128,12.47607804
5.1,285.3792287,11.96560669,256.1788674,12.46754668
5.2,286.5707292,11.91500433,257.4245807,12.45713267
5.3,287.7569201,11.8619096,258.669059,12.44478244
5.4,288.9375528,11.8063264,259.9121033,12.43044337
5.5,290.1123791,11.7482634,261.1535097,12.4140641
5.6,291.2811525,11.68773405,262.3930692,12.39559477
5.7,292.4436282,11.62475657,263.6305679,12.37498723
5.8,293.5995636,11.55935392,264.8657874,12.35219534
5.9,294.7487189,11.49155376,266.098505,12.32717525
6,295.8908578,11.42138837,267.3284935,12.29988559
6.1,297.0257472,11.34889448,268.5555223,12.2702878
6.2,298.1531585,11.27411322,269.7793569,12.23834633
6.3,299.2728675,11.1970899,270.9997598,12.20402892
6.4,300.3846549,11.11787385,272.2164905,12.16730681
6.5,301.4883067,11.03651822,273.429306,12.12815498
6.6,302.5836147,10.95307976,274.6379612,12.08655232
6.7,303.6703766,10.8676186,275.8422094,12.04248187
6.8,304.7483964,10.780198,277.0418025,11.99593095
6.9,305.8174848,10.69088409,278.2364916,11.94689129
7,306.8774593,10.59974561,279.4260276,11.8953592
7.1,307.9281447,10.50685365,280.6101611,11.84133565
7.2,308.9693729,10.41228139,281.7886438,11.78482632
7.3,310.0009832,10.31610381,282.9612279,11.72584164
7.4,311.022823,10.21839744,284.1276676,11.66439685
7.5,312.034747,10.11924008,285.2877188,11.60051195
7.6,313.036618,10.01871057,286.44114,11.53421166
7.7,314.0283069,9.916888507,287.5876925,11.46552538
7.8,315.0096923,9.813854018,288.7271412,11.39448705
7.9,315.980661,9.709687534,289.8592547,11.32113508
8,316.941108,9.60446956,290.9838059,11.24551216
8.1,317.8909361,9.498280468,292.1005725,11.16766514
8.2,318.8300561,9.391200302,293.2093369,11.08764478
8.3,319.7583869,9.283308592,294.3098875,11.00550562
8.4,320.6758554,9.174684187,295.4020181,10.92130569
8.5,321.5823959,9.065405094,296.4855287,10.83510632
8.6,322.4779507,8.955548338,297.5602259,10.74697187
8.7,323.3624697,8.845189834,298.6259228,10.65696947
8.8,324.2359101,8.734404265,299.6824397,10.56516878
8.9,325.0982366,8.623264983,300.7296039,10.4716417
9,325.949421,8.511843917,301.7672501,10.3764621
9.1,326.7894422,8.400211492,302.7952206,10.27970558
9.2,327.6182858,8.288436563,303.8133656,10.18144918
9.3,328.4359444,8.176586358,304.8215427,10.08177111
9.4,329.2424171,8.064726428,305.8196177,9.98075052
9.5,330.0377091,7.952920615,306.8074644,9.878467238
9.6,330.8218322,7.841231018,307.7849646,9.775001532
9.7,331.594804,7.729717975,308.752008,9.670433884
9.8,332.3566481,7.618440052,309.7084925,9.564844775
9.9,333.1073935,7.507454031,310.6543239,9.458314476
10,333.8470749,7.396814916,311.5894162,9.35092286
10.1,334.5757325,7.286575934,312.5136911,9.242749224
10.2,335.2934114,7.176788549,313.4270783,9.133872118
10.3,336.0001616,7.067502472,314.3295153,9.024369202
10.4,336.6960382,6.958765684,315.220947,8.914317099
10.5,337.3811007,6.850624453,316.1013261,8.803791278
10.6,338.055413,6.743123363,316.9706127,8.692865937
10.7,338.7190435,6.636305337,317.8287741,8.581613908
10.8,339.3720647,6.530211667,318.6757847,8.470106566
10.9,340.0145529,6.424882047,319.5116261,8.358413759
11,340.6465884,6.320354598,320.3362865,8.24660374
11.1,341.2682549,6.216665904,321.1497608,8.134743117
11.2,341.8796401,6.113851047,321.9520505,8.022896806
11.3,342.4808344,6.011943635,322.7431633,7.911128003
11.4,343.071932,5.910975837,323.5231131,7.799498151
11.5,343.6530298,5.81097842,324.2919198,7.688066929
11.6,344.2242279,5.711980776,325.049609,7.576892235
11.7,344.785629,5.614010955,325.796212,7.46603019
11.8,345.3373386,5.517095702,326.5317655,7.355535134
11.9,345.8794646,5.42126048,327.2563115,7.245459632
12,346.4121176,5.32652951,327.969897,7.135854494
12.1,346.9354102,5.232925789,328.6725738,7.026768781
12.2,347.4494573,5.140471129,329.3643988,6.918249834
12.3,347.9543759,5.049186178,330.0454331,6.810343289
12.4,348.4502849,4.959090448,330.7157425,6.703093106
12.5,348.9373052,4.870202343,331.3753966,6.596541596
12.6,349.4155591,4.78253918,332.0244696,6.490729452
12.7,349.8851708,4.696117215,332.6630391,6.385695776
12.8,350.346266,4.610951665,333.2911869,6.281478111
12.9,350.7989717,4.52705673,333.9089982,6.178112478
13,351.2434162,4.444445612,334.5165615,6.075633403
13.1,351.6797293,4.363130538,335.1139689,5.974073955
13.2,352.1080415,4.283122775,335.7013155,5.873465775
